제품도번,측정특성,측정순번,측정값
P-3026,도막두께μm,26,21.0
P-3026,도막두께μm,27,19.9
P-3026,도막두께μm,28,18.4
P-3026,도막두께μm,29,19.5
P-3026,도막두께μm,30,18.5
P-3027,도막두께μm,1,36.9
P-3027,도막두께μm,2,41.0
P-3027,도막두께μm,3,38.1
P-3027,도막두께μm,4,40.3
P-3027,도막두께μm,5,37.3
P-3027,도막두께μm,6,38.7
P-3027,도막두께μm,7,40.8
P-3027,도막두께μm,8,37.9
P-3027,도막두께μm,9,34.8
P-3027,도막두께μm,10,36.6
P-3027,도막두께μm,11,38.9
P-3027,도막두께μm,12,38.8
P-3027,도막두께μm,13,39.0
P-3027,도막두께μm,14,39.6
P-3027,도막두께μm,15,38.2
P-3027,도막두께μm,16,40.2
P-3027,도막두께μm,17,37.7
P-3027,도막두께μm,18,39.1
P-3027,도막두께μm,19,39.6
P-3027,도막두께μm,20,37.9
P-3027,도막두께μm,21,40.0
P-3027,도막두께μm,22,37.0
P-3027,도막두께μm,23,37.9
P-3027,도막두께μm,24,37.4
P-3027,도막두께μm,25,39.9
P-3027,도막두께μm,26,39.6
P-3027,도막두께μm,27,39.7
P-3027,도막두께μm,28,37.1
P-3027,도막두께μm,29,38.2
P-3027,도막두께μm,30,35.8
P-3028,도막두께μm,1,26.8
P-3028,도막두께μm,2,21.4
P-3028,도막두께μm,3,21.9
P-3028,도막두께μm,4,26.8
P-3028,도막두께μm,5,24.9
P-3028,도막두께μm,6,26.7
P-3028,도막두께μm,7,24.0
P-3028,도막두께μm,8,25.2
P-3028,도막두께μm,9,23.0
P-3028,도막두께μm,10,28.1
P-3028,도막두께μm,11,25.8
P-3028,도막두께μm,12,23.2
P-3028,도막두께μm,13,25.7
P-3028,도막두께μm,14,23.3
P-3028,도막두께μm,15,24.4
P-3028,도막두께μm,16,27.2
P-3028,도막두께μm,17,20.6
P-3028,도막두께μm,18,24.7
P-3028,도막두께μm,19,26.6
P-3028,도막두께μm,20,26.1
P-3028,도막두께μm,21,17.9
P-3028,도막두께μm,22,21.0
P-3028,도막두께μm,23,22.4
P-3028,도막두께μm,24,26.0
P-3028,도막두께μm,25,22.1
P-3028,도막두께μm,26,23.9
P-3028,도막두께μm,27,23.5
P-3028,도막두께μm,28,23.0
P-3028,도막두께μm,29,23.5
P-3028,도막두께μm,30,23.9
P-3029,도막두께μm,1,37.8
P-3029,도막두께μm,2,38.6
P-3029,도막두께μm,3,40.0
P-3029,도막두께μm,4,39.6
P-3029,도막두께μm,5,39.5
P-3029,도막두께μm,6,38.8
P-3029,도막두께μm,7,38.7
P-3029,도막두께μm,8,38.0
P-3029,도막두께μm,9,40.3
P-3029,도막두께μm,10,37.1
P-3029,도막두께μm,11,39.4
P-3029,도막두께μm,12,38.7
P-3029,도막두께μm,13,39.6
P-3029,도막두께μm,14,37.5
P-3029,도막두께μm,15,38.7
P-3029,도막두께μm,16,41.7
P-3029,도막두께μm,17,37.4
P-3029,도막두께μm,18,40.0
P-3029,도막두께μm,19,39.7
P-3029,도막두께μm,20,37.9
P-3029,도막두께μm,21,39.9
P-3029,도막두께μm,22,38.7
P-3029,도막두께μm,23,38.5
P-3029,도막두께μm,24,37.8
P-3029,도막두께μm,25,37.1
P-3029,도막두께μm,26,37.8
P-3029,도막두께μm,27,39.9
P-3029,도막두께μm,28,39.2
P-3029,도막두께μm,29,37.5
P-3029,도막두께μm,30,38.3
P-3030,도막두께μm,1,26.8
P-3030,도막두께μm,2,32.4
P-3030,도막두께μm,3,28.4
P-3030,도막두께μm,4,31.0
P-3030,도막두께μm,5,26.8
P-3030,도막두께μm,6,31.9
P-3030,도막두께μm,7,26.0
P-3030,도막두께μm,8,31.3
P-3030,도막두께μm,9,27.7
P-3030,도막두께μm,10,27.2
P-3030,도막두께μm,11,29.4
P-3030,도막두께μm,12,29.8
P-3030,도막두께μm,13,28.0
P-3030,도막두께μm,14,27.2
P-3030,도막두께μm,15,32.4
P-3030,도막두께μm,16,28.9
P-3030,도막두께μm,17,30.0
P-3030,도막두께μm,18,26.6
P-3030,도막두께μm,19,24.2
P-3030,도막두께μm,20,29.0
P-3030,도막두께μm,21,24.6
P-3030,도막두께μm,22,26.6
P-3030,도막두께μm,23,28.9
P-3030,도막두께μm,24,28.1
P-3030,도막두께μm,25,29.0
P-3030,도막두께μm,26,28.5
P-3030,도막두께μm,27,28.5
P-3030,도막두께μm,28,25.3
P-3030,도막두께μm,29,29.3
P-3030,도막두께μm,30,26.9
P-3031,도막두께μm,1,27.4
P-3031,도막두께μm,2,26.7
P-3031,도막두께μm,3,26.2
P-3031,도막두께μm,4,26.7
P-3031,도막두께μm,5,25.1
P-3031,도막두께μm,6,26.2
P-3031,도막두께μm,7,27.4
P-3031,도막두께μm,8,25.2
P-3031,도막두께μm,9,27.1
P-3031,도막두께μm,10,27.5
P-3031,도막두께μm,11,27.8
P-3031,도막두께μm,12,27.9
P-3031,도막두께μm,13,26.5
P-3031,도막두께μm,14,27.9
P-3031,도막두께μm,15,25.7
P-3031,도막두께μm,16,26.0
P-3031,도막두께μm,17,27.5
P-3031,도막두께μm,18,26.2
P-3031,도막두께μm,19,26.5
P-3031,도막두께μm,20,26.8
P-3031,도막두께μm,21,26.9
P-3031,도막두께μm,22,27.6
P-3031,도막두께μm,23,27.8
P-3031,도막두께μm,24,26.7
P-3031,도막두께μm,25,26.9
P-3031,도막두께μm,26,26.3
P-3031,도막두께μm,27,26.6
P-3031,도막두께μm,28,27.9
P-3031,도막두께μm,29,27.6
P-3031,도막두께μm,30,26.6
P-3032,도막두께μm,1,38.5
P-3032,도막두께μm,2,38.7
P-3032,도막두께μm,3,39.2
P-3032,도막두께μm,4,40.4
P-3032,도막두께μm,5,39.1
P-3032,도막두께μm,6,38.2
P-3032,도막두께μm,7,36.4
P-3032,도막두께μm,8,39.9
P-3032,도막두께μm,9,35.5
P-3032,도막두께μm,10,36.9
P-3032,도막두께μm,11,37.5
P-3032,도막두께μm,12,36.8
P-3032,도막두께μm,13,36.3
P-3032,도막두께μm,14,38.5
P-3032,도막두께μm,15,37.7
P-3032,도막두께μm,16,35.8
P-3032,도막두께μm,17,40.9
P-3032,도막두께μm,18,38.5
P-3032,도막두께μm,19,38.5
P-3032,도막두께μm,20,39.0
P-3032,도막두께μm,21,37.4
P-3032,도막두께μm,22,37.4
P-3032,도막두께μm,23,37.9
P-3032,도막두께μm,24,38.8
P-3032,도막두께μm,25,38.7
P-3032,도막두께μm,26,34.9
P-3032,도막두께μm,27,38.9
P-3032,도막두께μm,28,37.3
P-3032,도막두께μm,29,35.6
P-3032,도막두께μm,30,37.5
P-3033,도막두께μm,1,30.1
P-3033,도막두께μm,2,34.0
P-3033,도막두께μm,3,33.3
P-3033,도막두께μm,4,31.4
P-3033,도막두께μm,5,31.7
P-3033,도막두께μm,6,32.5
P-3033,도막두께μm,7,37.0
P-3033,도막두께μm,8,30.0
P-3033,도막두께μm,9,32.4
P-3033,도막두께μm,10,34.8
P-3033,도막두께μm,11,35.0
P-3033,도막두께μm,12,31.3
P-3033,도막두께μm,13,33.8
P-3033,도막두께μm,14,36.1
P-3033,도막두께μm,15,30.0
P-3033,도막두께μm,16,34.3
P-3033,도막두께μm,17,28.8
P-3033,도막두께μm,18,29.3
P-3033,도막두께μm,19,35.4
P-3033,도막두께μm,20,34.1
P-3033,도막두께μm,21,34.8
P-3033,도막두께μm,22,31.8
P-3033,도막두께μm,23,32.6
P-3033,도막두께μm,24,34.0
P-3033,도막두께μm,25,33.0
P-3033,도막두께μm,26,35.1
P-3033,도막두께μm,27,34.9
P-3033,도막두께μm,28,30.4
P-3033,도막두께μm,29,33.1
P-3033,도막두께μm,30,36.1
P-3034,도막두께μm,1,42.0
P-3034,도막두께μm,2,40.1
P-3034,도막두께μm,3,40.1
P-3034,도막두께μm,4,39.5
P-3034,도막두께μm,5,40.8
P-3034,도막두께μm,6,41.1
P-3034,도막두께μm,7,40.6
P-3034,도막두께μm,8,39.8
P-3034,도막두께μm,9,40.3
P-3034,도막두께μm,10,40.2
P-3034,도막두께μm,11,40.3
P-3034,도막두께μm,12,40.5
P-3034,도막두께μm,13,39.9
P-3034,도막두께μm,14,39.9
P-3034,도막두께μm,15,40.2
P-3034,도막두께μm,16,40.0
P-3034,도막두께μm,17,39.7
P-3034,도막두께μm,18,40.3
P-3034,도막두께μm,19,40.2
P-3034,도막두께μm,20,39.5
P-3034,도막두께μm,21,40.3
P-3034,도막두께μm,22,40.1
P-3034,도막두께μm,23,40.1
P-3034,도막두께μm,24,40.7
P-3034,도막두께μm,25,39.0
P-3034,도막두께μm,26,39.7
P-3034,도막두께μm,27,38.2
P-3034,도막두께μm,28,40.9
P-3034,도막두께μm,29,39.9
P-3034,도막두께μm,30,39.7
P-3035,도막두께μm,1,27.6
P-3035,도막두께μm,2,28.1
P-3035,도막두께μm,3,29.0
P-3035,도막두께μm,4,28.0
P-3035,도막두께μm,5,29.0
P-3035,도막두께μm,6,28.5
P-3035,도막두께μm,7,28.0
P-3035,도막두께μm,8,29.1
P-3035,도막두께μm,9,29.5
P-3035,도막두께μm,10,29.5
P-3035,도막두께μm,11,28.0
P-3035,도막두께μm,12,29.7
P-3035,도막두께μm,13,27.9
P-3035,도막두께μm,14,29.1
P-3035,도막두께μm,15,28.6
P-3035,도막두께μm,16,28.9
P-3035,도막두께μm,17,28.9
P-3035,도막두께μm,18,30.1
P-3035,도막두께μm,19,28.8
P-3035,도막두께μm,20,29.3
P-3035,도막두께μm,21,29.2
P-3035,도막두께μm,22,27.6
P-3035,도막두께μm,23,28.2
P-3035,도막두께μm,24,28.7
P-3035,도막두께μm,25,29.3
P-3035,도막두께μm,26,28.7
P-3035,도막두께μm,27,27.8
P-3035,도막두께μm,28,28.3
P-3035,도막두께μm,29,29.0
P-3035,도막두께μm,30,29.2
